run_id,variant,sample,bin_index_1_based,reference_upper_edge_um,reproduced_upper_edge_um,reference_mean_velocity,reproduced_mean_velocity,signed_error,absolute_error,reproduced_stdev,reproduced_observations
A05_control,A_legacy,control,4,15.10526315789474,15.105263157894736,492.9779131604483,217.54195008629785,-275.43596307415044,275.43596307415044,28.452742925631707,18700
A05_control,A_legacy,control,5,18.88157894736842,18.881578947368425,509.0915952734761,216.07708754242537,-293.01450773105074,293.01450773105074,27.65007201315305,15849
A05_control,A_legacy,control,6,22.65789473684211,22.657894736842106,518.9359718846018,214.15968284370385,-304.77628904089795,304.77628904089795,26.60127330456874,17094
A05_control,A_legacy,control,7,26.43421052631579,26.434210526315788,523.9541438077175,210.79177518881045,-313.16236861890707,313.16236861890707,27.215856052432404,23815
A05_control,A_legacy,control,8,30.21052631578947,30.210526315789473,525.3635252468608,209.16111646017913,-316.2024087866817,316.2024087866817,27.62084282826173,18977
A05_control,A_legacy,control,9,33.98684210526316,33.98684210526316,527.2624271378364,207.7973607405745,-319.4650663972619,319.4650663972619,27.92106893162757,17603
A05_control,A_legacy,control,10,37.76315789473685,37.76315789473685,528.2306309824129,206.23405483272947,-321.9965761496834,321.9965761496834,27.609157658096958,20836
A05_control,A_legacy,control,11,41.53947368421053,41.53947368421053,529.4324597532669,206.7301953021969,-322.70226445107005,322.70226445107005,27.594563141378135,17920
A05_control,A_legacy,control,12,45.31578947368421,45.31578947368421,529.5276446960855,207.84784260841948,-321.6798020876661,321.6798020876661,28.41553879179917,19150
A05_control,A_legacy,control,13,49.0921052631579,49.0921052631579,529.257119815141,212.3329579317614,-316.9241618833796,316.9241618833796,27.113995117488813,25258
A05_control,A_legacy,control,14,52.86842105263158,52.868421052631575,524.5701823925508,214.6913748450054,-309.8788075475454,309.8788075475454,26.76061140101523,21734
A05_control,A_legacy,control,15,56.64473684210527,56.64473684210527,514.01630787243,215.27028606335838,-298.74602180907164,298.74602180907164,28.912393607134206,19277
A05_control,A_legacy,control,16,60.42105263157895,60.421052631578945,499.5646179624673,216.48303548849609,-283.08158247397125,283.08158247397125,29.24314099065435,22477
A05_control,A_legacy,control,17,64.19736842105263,64.19736842105263,495.0250598464668,216.6418270586036,-278.38323278786316,278.38323278786316,30.56441178475647,25549
A05_control,A_legacy,control,18,67.97368421052632,67.97368421052632,486.4867244655335,218.54575586287203,-267.9409686026614,267.9409686026614,32.05986747576634,25517
A05_control,A_legacy,control,19,71.75,71.75,468.7498799456037,221.58731461700486,-247.16256532859884,247.16256532859884,33.723756540443325,17229
A05_sepsis,A_legacy,sepsis,1,3.407894736842105,3.4078947368421053,557.2336048748283,162.06832968288666,-395.16527519194165,395.16527519194165,44.38031204193382,19020
A05_sepsis,A_legacy,sepsis,2,6.815789473684211,6.815789473684211,559.2436708316217,159.96475159311004,-399.27891923851166,399.27891923851166,41.58613551689536,21213
A05_sepsis,A_legacy,sepsis,3,10.22368421052632,10.223684210526315,560.3987896274358,157.8431219795736,-402.5556676478622,402.5556676478622,38.78338186516415,20334
A05_sepsis,A_legacy,sepsis,4,13.63157894736842,13.631578947368421,560.8155344757931,159.11189809989358,-401.7036363758996,401.7036363758996,37.226956479946935,20331
A05_sepsis,A_legacy,sepsis,5,17.03947368421053,17.039473684210527,561.1513433894442,158.72160260693744,-402.4297407825067,402.4297407825067,36.24168311486441,22378
A05_sepsis,A_legacy,sepsis,6,20.44736842105263,20.44736842105263,562.5352283392697,157.52908860183138,-405.0061397374383,405.0061397374383,34.7709268439875,22637
A05_sepsis,A_legacy,sepsis,7,23.85526315789474,23.855263157894736,564.515324039244,155.6978889172531,-408.8174351219909,408.8174351219909,33.60883945375073,21184
A05_sepsis,A_legacy,sepsis,8,27.26315789473684,27.263157894736842,565.4026943513294,154.18805656236117,-411.2146377889682,411.2146377889682,33.18342129651844,19365
A05_sepsis,A_legacy,sepsis,9,30.67105263157895,30.67105263157895,563.8010805937621,152.82318140271843,-410.97789919104366,410.97789919104366,33.069243558127404,18984
A05_sepsis,A_legacy,sepsis,10,34.07894736842105,34.078947368421055,564.01905988649,152.79020023792728,-411.2288596485628,411.2288596485628,33.39507535203585,18784
A05_sepsis,A_legacy,sepsis,11,37.48684210526316,37.48684210526316,567.9904496523931,153.23444299955548,-414.7560066528376,414.7560066528376,32.72210671423483,20023
A05_sepsis,A_legacy,sepsis,12,40.89473684210526,40.89473684210526,569.2992909416753,156.07570386606807,-413.2235870756072,413.2235870756072,32.6450308064889,22360
A05_sepsis,A_legacy,sepsis,13,44.30263157894737,44.30263157894737,566.9952070847053,159.71150766461156,-407.28369942009374,407.28369942009374,31.86584609045332,22722
A05_sepsis,A_legacy,sepsis,14,47.71052631578947,47.71052631578947,566.1030653000455,161.5668205107698,-404.5362447892757,404.5362447892757,33.06193852466697,22287
A05_sepsis,A_legacy,sepsis,15,51.11842105263158,51.11842105263158,560.438454051932,162.18301409670997,-398.2554399552221,398.2554399552221,34.917571953364615,21808
A05_sepsis,A_legacy,sepsis,16,54.52631578947368,54.526315789473685,559.1539981460769,162.31238189882046,-396.8416162472564,396.8416162472564,36.816681296573954,21780
A05_sepsis,A_legacy,sepsis,17,57.93421052631579,57.934210526315795,557.5640646558861,163.06615653095923,-394.4979081249269,394.4979081249269,39.10362852549943,23060
A05_sepsis,A_legacy,sepsis,18,61.3421052631579,61.3421052631579,553.6478422288675,165.4042507883924,-388.2435914404751,388.2435914404751,40.97069366473071,26799
A05_sepsis,A_legacy,sepsis,19,64.75,64.75,550.1015754976037,167.973916415044,-382.1276590825597,382.1276590825597,42.42006096365322,15931
